id,user_id,article_id,campaign_id,click,datetime,device,os,browser
3454,270,3,2,0,2019-12-04 00:03:21,mobile,android,chrome
3455,270,486,0,0,2019-12-04 00:03:30,mobile,android,chrome
3456,3682,330,0,0,2019-12-04 00:15:38,mobile,android,chrome
3457,3682,330,2,0,2019-12-04 00:15:55,mobile,android,chrome
3458,3682,398,2,0,2019-12-04 00:16:04,mobile,android,chrome
3459,3682,382,4,0,2019-12-04 00:16:10,mobile,android,chrome
3460,3682,475,1,0,2019-12-04 00:16:18,mobile,android,chrome
3461,3682,413,3,0,2019-12-04 00:16:29,mobile,android,chrome
3462,2375,244,1,0,2019-12-04 00:18:59,mobile,ios,safari
3463,2375,233,1,1,2019-12-04 00:19:32,mobile,ios,safari
3464,2375,244,0,1,2019-12-04 00:19:36,mobile,ios,safari
3465,2375,233,4,0,2019-12-04 00:19:59,mobile,ios,safari
3466,799,263,0,0,2019-12-04 00:20:17,mobile,android,chrome
3467,799,481,4,0,2019-12-04 00:20:19,mobile,android,chrome
3468,2375,298,4,0,2019-12-04 00:20:22,mobile,ios,safari
3469,799,473,2,0,2019-12-04 00:20:37,mobile,android,chrome
3470,799,339,1,0,2019-12-04 00:20:53,mobile,android,chrome
3471,799,287,2,0,2019-12-04 00:21:13,mobile,android,chrome
3472,4204,272,0,0,2019-12-04 00:21:58,pc,win,ie
3473,4204,339,2,0,2019-12-04 00:22:39,pc,win,ie
3474,3371,290,0,0,2019-12-04 00:36:00,mobile,android,chrome
3475,3371,321,4,0,2019-12-04 00:36:33,mobile,android,chrome
3476,3371,486,0,0,2019-12-04 00:36:53,mobile,android,chrome
3477,3371,92,0,0,2019-12-04 00:37:14,mobile,android,chrome
3478,3371,321,0,0,2019-12-04 00:37:26,mobile,android,chrome
3479,3751,169,0,0,2019-12-04 00:37:30,pc,win,edge
3480,3371,290,1,0,2019-12-04 00:37:50,mobile,android,chrome
3481,3751,408,3,0,2019-12-04 00:38:01,pc,win,edge
3482,3751,176,2,0,2019-12-04 00:38:26,pc,win,edge
3483,3371,324,1,0,2019-12-04 00:38:31,mobile,android,chrome
3484,3371,290,3,0,2019-12-04 00:38:41,mobile,android,chrome
3485,3751,314,2,0,2019-12-04 00:38:54,pc,win,edge
3486,3751,442,3,0,2019-12-04 00:39:14,pc,win,edge
3487,3371,486,4,0,2019-12-04 00:39:18,mobile,android,chrome
3488,3371,272,1,0,2019-12-04 00:39:47,mobile,android,chrome
3489,3751,164,1,0,2019-12-04 00:39:48,pc,win,edge
3490,3751,128,1,0,2019-12-04 00:40:02,pc,win,edge
3491,3751,121,4,0,2019-12-04 00:40:35,pc,win,edge
3492,3930,457,1,0,2019-12-04 00:41:37,mobile,android,chrome
3493,4569,23,3,0,2019-12-04 00:42:10,mobile,android,chrome
3494,3930,238,3,0,2019-12-04 00:42:14,mobile,android,chrome
3495,3712,293,0,0,2019-12-04 00:42:28,mobile,ios,safari
3496,3712,371,3,0,2019-12-04 00:42:37,mobile,ios,safari
3497,3712,283,4,1,2019-12-04 00:42:41,mobile,ios,safari
3498,3712,293,0,0,2019-12-04 00:43:04,mobile,ios,safari
3499,3712,473,3,0,2019-12-04 00:43:07,mobile,ios,safari
3500,3712,243,3,0,2019-12-04 00:43:12,mobile,ios,safari
3501,3712,481,3,0,2019-12-04 00:43:14,mobile,ios,safari
3502,3930,181,0,0,2019-12-04 00:43:27,mobile,android,chrome
3503,4569,317,0,0,2019-12-04 00:43:30,mobile,android,chrome
3504,3712,451,4,0,2019-12-04 00:43:33,mobile,ios,safari
3505,3712,451,2,1,2019-12-04 00:43:39,mobile,ios,safari
3506,3712,473,4,0,2019-12-04 00:43:57,mobile,ios,safari
3507,4139,226,2,0,2019-12-04 00:59:46,pc,mac,chrome
3508,1616,412,1,0,2019-12-04 01:20:56,mobile,android,chrome
3509,1616,469,1,0,2019-12-04 01:22:45,mobile,android,chrome
3510,1602,135,2,0,2019-12-04 01:27:54,pc,mac,safari
3511,1602,168,4,0,2019-12-04 01:27:58,pc,mac,safari
3512,1602,294,1,0,2019-12-04 01:27:59,pc,mac,safari
3513,1602,229,4,0,2019-12-04 01:28:02,pc,mac,safari
3514,1602,229,0,1,2019-12-04 01:28:19,pc,mac,safari
3515,1602,148,2,0,2019-12-04 01:28:22,pc,mac,safari
3516,1602,168,3,0,2019-12-04 01:28:39,pc,mac,safari
3517,4661,417,3,0,2019-12-04 01:34:31,mobile,ios,safari
3518,4661,136,1,0,2019-12-04 01:35:00,mobile,ios,safari
3519,4661,346,4,0,2019-12-04 01:35:03,mobile,ios,safari
3520,4661,377,4,0,2019-12-04 01:35:50,mobile,ios,safari
3521,4661,346,3,0,2019-12-04 01:36:04,mobile,ios,safari
3522,644,28,1,0,2019-12-04 01:37:40,pc,mac,safari
3523,644,452,3,0,2019-12-04 01:38:11,pc,mac,safari
3524,3268,304,0,0,2019-12-04 01:38:51,mobile,android,chrome
3525,644,452,4,0,2019-12-04 01:39:05,pc,mac,safari
3526,3268,68,3,0,2019-12-04 01:39:07,mobile,android,chrome
3527,644,487,3,0,2019-12-04 01:39:16,pc,mac,safari
3528,3268,145,1,0,2019-12-04 01:39:17,mobile,android,chrome
3529,3268,304,2,0,2019-12-04 01:39:26,mobile,android,chrome
3530,3268,145,2,0,2019-12-04 01:39:36,mobile,android,chrome
3531,3268,145,3,0,2019-12-04 01:39:39,mobile,android,chrome
3532,3268,7,2,0,2019-12-04 01:39:46,mobile,android,chrome
3533,644,28,4,0,2019-12-04 01:40:09,pc,mac,safari
3534,3597,200,0,0,2019-12-04 01:41:58,pc,win,ie
3535,3597,301,4,0,2019-12-04 01:42:17,pc,win,ie
3536,3597,192,4,0,2019-12-04 01:42:49,pc,win,ie
3537,2935,339,1,0,2019-12-04 01:58:15,mobile,ios,safari
3538,2935,176,2,0,2019-12-04 01:58:48,mobile,ios,safari
3539,2935,71,3,0,2019-12-04 01:59:16,mobile,ios,safari
3540,2935,164,3,0,2019-12-04 01:59:25,mobile,ios,safari
3541,4973,49,4,0,2019-12-04 01:59:26,mobile,ios,safari
3542,4159,452,0,0,2019-12-04 01:59:37,mobile,ios,safari
3543,2121,107,0,0,2019-12-04 02:01:31,pc,mac,safari
3544,2121,9,1,0,2019-12-04 02:01:48,pc,mac,safari
3545,2121,107,1,0,2019-12-04 02:01:51,pc,mac,safari
3546,2121,384,3,0,2019-12-04 02:01:55,pc,mac,safari
3547,2121,17,2,0,2019-12-04 02:02:10,pc,mac,safari
3548,2121,294,0,0,2019-12-04 02:02:32,pc,mac,safari
3549,2121,294,4,0,2019-12-04 02:02:40,pc,mac,safari
3550,2121,112,4,0,2019-12-04 02:03:01,pc,mac,safari
3551,2121,99,1,0,2019-12-04 02:03:16,pc,mac,safari
3552,2121,59,4,0,2019-12-04 02:03:34,pc,mac,safari
3553,2121,107,3,0,2019-12-04 02:03:51,pc,mac,safari
3554,2121,17,4,0,2019-12-04 02:04:06,pc,mac,safari
3555,3683,351,4,0,2019-12-04 02:26:54,mobile,ios,safari
3556,3683,351,0,0,2019-12-04 02:27:03,mobile,ios,safari
3557,3683,481,4,0,2019-12-04 02:27:31,mobile,ios,safari
3558,2031,57,3,0,2019-12-04 02:32:48,mobile,ios,safari
3559,2031,29,0,0,2019-12-04 02:33:19,mobile,ios,safari
3560,2031,256,1,0,2019-12-04 02:34:00,mobile,ios,safari
3561,1978,498,1,0,2019-12-04 02:34:49,mobile,android,chrome
3562,2031,462,0,0,2019-12-04 02:35:15,mobile,ios,safari
3563,1978,6,0,0,2019-12-04 02:35:16,mobile,android,chrome
3564,1978,410,2,0,2019-12-04 02:35:44,mobile,android,chrome
3565,2260,59,0,0,2019-12-04 02:36:58,mobile,ios,safari
3566,2260,158,2,0,2019-12-04 02:37:27,mobile,ios,safari
3567,2260,135,3,0,2019-12-04 02:37:59,mobile,ios,safari
3568,1495,379,3,0,2019-12-04 02:52:45,pc,mac,safari
3569,3278,51,3,0,2019-12-04 02:52:50,mobile,android,chrome
3570,3278,499,2,0,2019-12-04 02:53:13,mobile,android,chrome
3571,1495,318,1,0,2019-12-04 02:53:15,pc,mac,safari
